市总公司,组织机构,单位,包含组织
国网四川内江供电公司,内江供电公司本部,安全监察部（保卫部）,
国网四川内江供电公司,内江供电公司本部,办公室（党委办公室）,
国网四川内江供电公司,内江供电公司本部,财务资产部,
国网四川内江供电公司,内江供电公司本部,党委党建部（党委宣传部、工会、团委）,
国网四川内江供电公司,内江供电公司本部,党委组织部（人力资源部）,
国网四川内江供电公司,内江供电公司本部,电力调度控制中心,
国网四川内江供电公司,内江供电公司本部,发展策划部,
国网四川内江供电公司,内江供电公司本部,纪委办公室,
国网四川内江供电公司,内江供电公司本部,建设部（项目管理中心）,
国网四川内江供电公司,内江供电公司本部,科技数字化工作部,
国网四川内江供电公司,内江供电公司本部,审计部,
国网四川内江供电公司,内江供电公司本部,物资部,
国网四川内江供电公司,内江供电公司本部,营销部(农电工作部）,
国网四川内江供电公司,内江供电公司本部,运维检修部,
国网四川内江供电公司,内江供电公司本部,综合服务中心,
国网四川内江供电公司,内江供电公司本部,领导干部,
国网四川内江供电公司,内江供电公司本部,助理/副总师,
国网四川内江供电公司,县级供电企业,国网隆昌市供电分公司,内江星原公司隆昌分公司
国网四川内江供电公司,县级供电企业,国网隆昌市供电分公司,内江三新公司隆昌分公司
国网四川内江供电公司,县级供电企业,国网隆昌市供电分公司,运维检修部（检修（建设）工区）
国网四川内江供电公司,县级供电企业,国网隆昌市供电分公司,营销部（客户服务中心）
国网四川内江供电公司,县级供电企业,国网隆昌市供电分公司,电力调度控制分中心
国网四川内江供电公司,县级供电企业,国网隆昌市供电分公司,领导干部
国网四川内江供电公司,县级供电企业,国网隆昌市供电分公司,党委党建部（党委宣传部、工会、纪委办公室、团委）
国网四川内江供电公司,县级供电企业,国网隆昌市供电分公司,发展建设部
国网四川内江供电公司,县级供电企业,国网隆昌市供电分公司,安全监察部（保卫部）
国网四川内江供电公司,县级供电企业,国网隆昌市供电分公司,党委组织部（人力资源部）
国网四川内江供电公司,县级供电企业,国网隆昌市供电分公司,办公室（党委办公室）
国网四川内江供电公司,县级供电企业,国网隆昌市供电分公司,财务资产部
国网四川内江供电公司,县级供电企业,国网东兴区供电分公司,内江星原公司东兴分公司
国网四川内江供电公司,县级供电企业,国网东兴区供电分公司,内江三新公司东兴分公司
国网四川内江供电公司,县级供电企业,国网东兴区供电分公司,运维检修部（检修（建设）工区）
国网四川内江供电公司,县级供电企业,国网东兴区供电分公司,营销部（客户服务中心）
国网四川内江供电公司,县级供电企业,国网东兴区供电分公司,发展建设部
国网四川内江供电公司,县级供电企业,国网东兴区供电分公司,领导干部
国网四川内江供电公司,县级供电企业,国网东兴区供电分公司,综合管理部（党委办公室、党委组织部）
国网四川内江供电公司,县级供电企业,国网东兴区供电分公司,安全监察部（保卫部）
国网四川内江供电公司,县级供电企业,国网东兴区供电分公司,党委党建部（党委宣传部、工会、纪委办公室、团委）
国网四川内江供电公司,县级供电企业,国网东兴区供电分公司,财务资产部
国网四川内江供电公司,县级供电企业,国网威远县供电分公司,内江星原公司威远分公司
国网四川内江供电公司,县级供电企业,国网威远县供电分公司,内江三新公司威远分公司
国网四川内江供电公司,县级供电企业,国网威远县供电分公司,运维检修部（检修（建设）工区）
国网四川内江供电公司,县级供电企业,国网威远县供电分公司,营销部（客户服务中心）
国网四川内江供电公司,县级供电企业,国网威远县供电分公司,电力调度控制分中心
